,Nom,Type,Pop21,Pop16,Km2,accroissement_population,Population_Cat21,Population_Cat16
0,Barraute,MÉ,1986.0,1968.0,493.04,0.9146341463414634,1000 à 2499,1000 à 2499
1,Berry,MÉ,535.0,538.0,575.07,-0.5576208178438662,Moins de 1000,Moins de 1000
2,Champneuf,MÉ,94.0,123.0,241.32,-23.577235772357724,Moins de 1000,Moins de 1000
3,La Corne,MÉ,778.0,719.0,308.13,8.205841446453407,Moins de 1000,Moins de 1000
4,La Morandière,MÉ,205.0,207.0,407.35,-0.966183574879227,Moins de 1000,Moins de 1000
5,La Motte,MÉ,478.0,453.0,175.48,5.518763796909492,Moins de 1000,Moins de 1000
6,Preissac,MÉ,914.0,835.0,422.13,9.461077844311378,Moins de 1000,Moins de 1000
7,Rochebaucourt,MÉ,146.0,131.0,183.63,11.450381679389313,Moins de 1000,Moins de 1000
8,Saint-Dominique-du-Rosaire,MÉ,434.0,450.0,479.89,-3.5555555555555554,Moins de 1000,Moins de 1000
9,Saint-Félix-de-Dalquier,MÉ,1026.0,940.0,113.15,9.148936170212766,1000 à 2499,1000 à 2499
10,Saint-Mathieu-d'Harricana,MÉ,770.0,739.0,105.86,4.194857916102841,Moins de 1000,Moins de 1000
11,Sainte-Gertrude-Manneville,MÉ,793.0,787.0,316.46,0.7623888182973316,Moins de 1000,Moins de 1000
12,Authier,MÉ,290.0,268.0,142.22,8.208955223880597,Moins de 1000,Moins de 1000
13,Authier-Nord,MÉ,288.0,300.0,278.05,-4.0,Moins de 1000,Moins de 1000
14,Chazel,MÉ,254.0,289.0,133.55,-12.110726643598616,Moins de 1000,Moins de 1000
15,Clerval,MÉ,373.0,371.0,99.17,0.5390835579514824,Moins de 1000,Moins de 1000
16,Dupuy,MÉ,940.0,931.0,122.43,0.966702470461869,Moins de 1000,Moins de 1000
17,Gallichan,MÉ,488.0,468.0,73.61,4.273504273504273,Moins de 1000,Moins de 1000
18,La Reine,MÉ,307.0,339.0,97.63,-9.43952802359882,Moins de 1000,Moins de 1000
19,Normétal,MÉ,778.0,808.0,55.25,-3.712871287128713,Moins de 1000,Moins de 1000
20,Palmarolle,MÉ,1386.0,1409.0,117.87,-1.6323633782824698,1000 à 2499,1000 à 2499
